,Person,Subcategory,Category
417,Eric M. B. Becker,American writers,Writers
418,William Giraldi,American writers,Writers
419,Mary F. Nixon-Roulet,American writers,Writers
420,Harry Dolan,American writers,Writers
421,Abdullah H. Abdur-Razzaq,American writers,Writers
422,Zara Wright,American writers,Writers
423,Celestine Maddy,American writers,Writers
424,John Orloff,American writers,Writers
425,John Englehardt,American writers,Writers
426,Teresa Baker,American writers,Writers
427,Heather Lende,American writers,Writers
428,Alison Martin,American writers,Writers
429,Marilyn Loden,American writers,Writers
430,Jennifer Ziegler,American writers,Writers
431,Rattawut Lapcharoensap,American writers,Writers
432,Molly Idle,American writers,Writers
433,Harold Cruse,American writers,Writers
434,Jay Taylor (author),American writers,Writers
435,Rebecca Frankel,American writers,Writers
436,Anna Laurens Dawes,American writers,Writers
437,Brian Fox (computer programmer),American writers,Writers
438,Mark Zwonitzer,American writers,Writers
439,Erwin Canham,American writers,Writers
440,Colin Dickey,American writers,Writers
441,Steve Ryan (author),American writers,Writers
442,Janis Mayes,American writers,Writers
443,Patricia Phillippy,American writers,Writers
444,Leslie Jones (comedian),American writers,Writers
445,Keith Christiansen (art historian),American writers,Writers
446,Lester Cohen,American writers,Writers
447,William Pickens,American writers,Writers
448,Rebecca Warner Rawle Shoemaker,American writers,Writers
449,May Stevens,American writers,Writers
450,Terry Oroszi,American writers,Writers
451,Yvonne Sherwell,American writers,Writers
452,Gary Lennon,American writers,Writers
453,Christopher Voss,American writers,Writers
454,Mary Ritter Beard,American writers,Writers
455,Jordan Firstman,American writers,Writers
456,Michael Coles (businessman),American writers,Writers
457,Joseph Semprevivo,American writers,Writers
458,Francis Perry Elliott,American writers,Writers
459,Edward H. H. Simmons,American writers,Writers
460,Adam Alter,American writers,Writers
461,Aleko Lilius,American writers,Writers
462,Frank Parkhurst Brackett,American writers,Writers
463,Chandler Owen,American writers,Writers
464,Rindon Johnson,American writers,Writers
465,Uli Beutter Cohen,American writers,Writers
466,W. Howard Chase,American writers,Writers
467,Allison Leotta,American writers,Writers
468,Eva Ingersoll Wakefield,American writers,Writers
469,Allen Salkin,American writers,Writers
470,Peter Manso,American writers,Writers
471,Blair Underwood,American writers,Writers
472,Elmer Boyd Smith,American writers,Writers
473,Elizabeth Gordon (editor),American writers,Writers
474,Jonathan Green (photographer),American writers,Writers
475,South Side Writers Group,American writers,Writers
476,Crystal R. Emery,American writers,Writers
477,Salamishah Tillet,American writers,Writers
478,Celeste Lecesne,American writers,Writers
479,Cyril Briggs,American writers,Writers
480,Shahan Natalie,American writers,Writers
481,Jerrold Mundis,American writers,Writers
482,Walter Everette Hawkins,American writers,Writers
483,Martin London,American writers,Writers
484,Nandini Balial,American writers,Writers
485,E. R. Bills,American writers,Writers
486,Jonathan Wysocki,American writers,Writers
487,Eleanor Perry,American writers,Writers
488,Margaret Sloan-Hunter,American writers,Writers
489,Rifqa Bary controversy,American writers,Writers
490,Gail Tremblay,American writers,Writers
491,Nicole Saphier,American writers,Writers
492,Helen Aberson-Mayer,American writers,Writers
493,William R. Corson,American writers,Writers
494,William Andrew Johnston,American writers,Writers
495,James H. Madison,American writers,Writers
496,Darrel Ray,American writers,Writers
497,Thaddeus Rutkowski,American writers,Writers
498,Edward Y. Chang,American writers,Writers
499,Julie McNally Cahill,American writers,Writers
500,Shobhan Bantwal,American writers,Writers
501,Rameck Hunt,American writers,Writers
502,Zack Keller,American writers,Writers
503,Gordon L. Rottman,American writers,Writers
504,Jeffrey Harrod,American writers,Writers
505,Alexander Graydon,American writers,Writers
